url,cn_title,cn_name,en_name,en_title 
http://game.gtimg.cn/images/lol/act/img/champion/Annie.png,黑暗之女,安妮,Annie,null
http://game.gtimg.cn/images/lol/act/img/champion/Olaf.png,狂战士,奥拉夫,Olaf,null
http://game.gtimg.cn/images/lol/act/img/champion/Galio.png,正义巨像,加里奥,Galio,null
http://game.gtimg.cn/images/lol/act/img/champion/TwistedFate.png,卡牌大师,崔斯特,TwistedFate,null
http://game.gtimg.cn/images/lol/act/img/champion/XinZhao.png,德邦总管,赵信,XinZhao,null
http://game.gtimg.cn/images/lol/act/img/champion/Urgot.png,无畏战车,厄加特,Urgot,null
http://game.gtimg.cn/images/lol/act/img/champion/Leblanc.png,诡术妖姬,乐芙兰,Leblanc,null
http://game.gtimg.cn/images/lol/act/img/champion/Vladimir.png,猩红收割者,弗拉基米尔,Vladimir,null
http://game.gtimg.cn/images/lol/act/img/champion/FiddleSticks.png,末日使者,费德提克,FiddleSticks,null
http://game.gtimg.cn/images/lol/act/img/champion/Kayle.png,正义天使,凯尔,Kayle,null
http://game.gtimg.cn/images/lol/act/img/champion/MasterYi.png,无极剑圣,易,MasterYi,null
http://game.gtimg.cn/images/lol/act/img/champion/Alistar.png,牛头酋长,阿利斯塔,Alistar,null
http://game.gtimg.cn/images/lol/act/img/champion/Ryze.png,符文法师,瑞兹,Ryze,null
http://game.gtimg.cn/images/lol/act/img/champion/Sion.png,亡灵战神,赛恩,Sion,null
http://game.gtimg.cn/images/lol/act/img/champion/Sivir.png,战争女神,希维尔,Sivir,null
http://game.gtimg.cn/images/lol/act/img/champion/Soraka.png,众星之子,索拉卡,Soraka,null
http://game.gtimg.cn/images/lol/act/img/champion/Teemo.png,迅捷斥候,提莫,Teemo,null
http://game.gtimg.cn/images/lol/act/img/champion/Tristana.png,麦林炮手,崔丝塔娜,Tristana,null
http://game.gtimg.cn/images/lol/act/img/champion/Warwick.png,祖安怒兽,沃里克,Warwick,null
http://game.gtimg.cn/images/lol/act/img/champion/Nunu.png,雪原双子,努努和威朗普,Nunu,null
http://game.gtimg.cn/images/lol/act/img/champion/MissFortune.png,赏金猎人,厄运小姐,MissFortune,null
http://game.gtimg.cn/images/lol/act/img/champion/Ashe.png,寒冰射手,艾希,Ashe,null
http://game.gtimg.cn/images/lol/act/img/champion/Tryndamere.png,蛮族之王,泰达米尔,Tryndamere,null
http://game.gtimg.cn/images/lol/act/img/champion/Jax.png,武器大师,贾克斯,Jax,null
http://game.gtimg.cn/images/lol/act/img/champion/Morgana.png,堕落天使,莫甘娜,Morgana,null
http://game.gtimg.cn/images/lol/act/img/champion/Zilean.png,时光守护者,基兰,Zilean,null
